,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
497,497,2024-12-30,2016-02-04,,,,f,1,1,t,t,59.31841,18.03738,Entire loft,Entire home/apt,7,,1.5 baths,3.0,,,7,30,7,7,1125,1125,t,0,0,0,0,2024-12-30,12,0,0,2016-06-19,2022-07-24,4.92,4.67,4.75,5.0,4.91,5.0,4.73,,f,1,1,0,0
511,511,2024-12-30,2013-04-29,,,,f,1,1,t,t,59.31474,18.0807,Entire loft,Entire home/apt,4,2.0,2 baths,3.0,3.0,"$4,015.00",30,60,30,30,60,60,t,27,57,87,177,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
529,529,2024-12-30,2014-05-02,within a few hours,100%,93%,t,1,1,t,t,59.37639758804925,17.925313402130133,Entire guesthouse,Entire home/apt,2,1.5,1.5 baths,1.0,2.0,$850.00,3,1125,1,3,1125,1125,t,28,58,88,207,2024-12-30,15,11,0,2023-10-12,2024-09-01,5.0,5.0,5.0,5.0,5.0,4.93,4.93,,f,1,1,0,0
530,530,2024-12-30,2016-06-14,within an hour,100%,100%,t,1,2,t,t,59.28271,18.08879,Entire guesthouse,Entire home/apt,2,1.0,1 bath,0.0,1.0,$871.00,2,1125,2,2,1125,1125,t,25,55,83,83,2024-12-30,245,48,1,2016-06-23,2024-12-15,4.98,4.96,4.96,4.99,5.0,4.93,4.89,,t,1,1,0,0
597,597,2024-12-30,2016-10-26,within an hour,100%,100%,f,1,1,t,t,59.3064,18.0338,Entire loft,Entire home/apt,4,,1 bath,1.0,,,1,10,1,1,10,10,t,0,0,0,0,2024-12-30,45,3,0,2016-11-27,2024-10-19,4.91,4.93,4.76,4.96,4.98,4.71,4.78,,f,1,1,0,0
703,703,2024-12-30,2014-03-01,,,,f,1,1,t,f,59.30282,17.94416,Entire loft,Entire home/apt,4,,1 bath,3.0,,,4,7,4,4,7,7,t,0,0,0,0,2024-12-30,19,0,0,2017-05-25,2023-10-31,5.0,5.0,5.0,5.0,5.0,4.89,4.95,,f,1,1,0,0
748,748,2024-12-30,2017-06-21,within an hour,100%,100%,t,1,1,t,t,59.3813,17.81733,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,2.0,"$1,015.00",2,360,2,2,1125,1125,t,29,59,89,334,2024-12-30,130,12,0,2018-02-11,2024-09-27,4.98,4.99,4.99,4.98,4.99,4.72,4.92,,f,1,1,0,0
784,784,2024-12-30,2015-06-09,,,100%,f,1,1,t,f,59.33482,18.03702,Entire loft,Entire home/apt,2,,1 bath,,,,1,30,1,1,1125,1125,t,0,0,0,0,2024-12-30,11,2,0,2018-05-27,2024-02-24,4.73,4.73,4.73,5.0,5.0,5.0,3.91,,f,1,1,0,0
790,790,2024-12-30,2011-08-27,within an hour,100%,98%,t,18,20,t,t,59.323913541925215,18.068226331031777,Entire loft,Entire home/apt,11,1.5,1.5 baths,2.0,9.0,"$2,996.00",1,1125,1,3,1125,1125,t,23,53,83,345,2024-12-30,411,77,6,2017-10-03,2024-12-26,4.87,4.91,4.94,4.97,4.9,4.98,4.75,,f,18,18,0,0
839,839,2024-12-30,2011-08-27,within an hour,100%,98%,t,18,20,t,t,59.323753986847024,18.069350825276327,Entire loft,Entire home/apt,8,1.0,1 bath,2.0,6.0,"$2,253.00",1,1125,1,3,1125,1125,t,26,56,86,357,2024-12-30,374,65,6,2018-01-28,2024-12-22,4.9,4.89,4.91,4.86,4.93,4.98,4.72,,f,18,18,0,0
843,843,2024-12-30,2012-12-20,within an hour,100%,100%,t,2,2,t,t,59.2701,18.06202,Entire guesthouse,Entire home/apt,4,1.5,1.5 baths,1.0,2.0,$900.00,2,1125,2,2,1125,1125,t,0,0,0,21,2024-12-30,96,0,0,2018-02-16,2023-09-06,4.79,4.91,4.77,4.89,4.91,4.7,4.76,,f,2,2,0,0
845,845,2024-12-30,2016-11-24,,,77%,t,3,4,t,t,59.2508,18.02643,Entire guesthouse,Entire home/apt,2,,1.5 baths,,,,4,1125,4,4,1125,1125,t,0,0,0,0,2024-12-30,19,1,0,2018-02-01,2024-09-23,4.89,4.95,4.89,4.95,4.89,4.79,4.89,,f,2,1,1,0
856,856,2024-12-30,2014-04-22,,,100%,f,1,1,t,t,59.30114,18.00487,Entire loft,Entire home/apt,4,,1.5 baths,3.0,,,4,30,4,4,1125,1125,t,0,0,0,0,2024-12-30,45,4,0,2018-04-03,2024-07-19,4.98,4.98,4.93,4.98,4.96,4.93,4.87,,t,1,1,0,0
947,947,2024-12-30,2011-08-27,within an hour,100%,98%,t,18,20,t,t,59.32342,18.06954,Entire loft,Entire home/apt,11,1.0,1 bath,3.0,11.0,"$3,081.00",1,1125,1,3,1125,1125,t,15,45,75,343,2024-12-30,310,71,4,2018-12-08,2024-12-26,4.85,4.9,4.88,4.9,4.89,4.97,4.68,,f,18,18,0,0
