,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5082,5082,2024-12-30,2016-10-17,within a few hours,100%,33%,f,1,3,t,f,59.2833335,17.9570526,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,$850.00,7,30,1,7,30,30,t,10,10,10,10,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5083,5083,2024-12-30,2023-11-19,within a day,100%,33%,f,1,1,t,t,59.33664987744821,17.9831962287426,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"$1,107.00",1,1125,1,1,1125,1125,t,24,54,80,348,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5084,5084,2024-12-30,2016-10-23,within an hour,100%,100%,f,1,1,t,f,59.31608130000001,18.0416628,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,050.00",1,6,1,1,6,6,t,4,4,4,4,2024-12-30,3,3,1,2024-11-23,2024-12-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0
5085,5085,2024-12-30,2014-08-24,within a day,100%,0%,f,1,1,f,t,59.32313,18.07022,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"$1,350.00",5,60,5,5,60,60,t,23,53,83,83,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5086,5086,2024-12-30,2014-11-28,within an hour,100%,96%,t,33,38,t,t,59.324338,18.0703958,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,274.00",3,234,1,3,1125,1125,t,17,33,58,330,2024-12-30,3,3,3,2024-12-07,2024-12-25,4.67,4.67,4.67,5.0,5.0,4.67,5.0,,f,4,4,0,0
5087,5087,2024-12-30,2014-11-28,within an hour,100%,96%,t,33,38,t,t,59.324338,18.0703958,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,630.00",3,155,1,3,1125,1125,t,24,51,81,356,2024-12-30,2,2,2,2024-12-01,2024-12-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,4,4,0,0
5088,5088,2024-12-30,2015-07-21,within an hour,100%,100%,f,1,2,t,t,59.31512,18.03388,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$1,000.00",14,30,14,14,30,30,t,6,6,6,35,2024-12-30,0,0,0,,,,,,,,,,,t,1,1,0,0
5089,5089,2024-12-30,2021-11-03,within an hour,100%,67%,f,1,1,t,t,59.29803950014195,18.002862578253318,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,$950.00,1,365,1,1,365,365,t,0,2,2,221,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5090,5090,2024-12-30,2024-09-24,within a few hours,75%,100%,f,1,1,t,t,59.2883693,17.9236641,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"$1,000.00",1,365,1,1,365,365,t,28,58,88,88,2024-12-30,1,1,1,2024-12-18,2024-12-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
5091,5091,2024-12-30,2019-01-28,within a day,100%,,f,1,1,t,t,59.33372,18.03285,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,214.00",10,30,10,14,30,30,t,2,32,57,57,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5092,5092,2024-12-30,2014-11-28,within an hour,100%,96%,t,33,38,t,t,59.324338,18.0703958,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,123.00",1,120,1,3,1125,1125,t,26,56,86,361,2024-12-30,2,2,2,2024-12-05,2024-12-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,4,4,0,0
5094,5094,2024-12-30,2018-06-22,within a few hours,80%,76%,f,1,2,t,t,59.2878636,18.0356322,Private room in rental unit,Private room,1,,,1.0,1.0,$280.00,1,365,1,1,365,365,t,23,51,75,350,2024-12-30,1,1,1,2024-12-22,2024-12-22,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,f,1,0,1,0
5096,5096,2024-12-30,2015-11-07,within a day,100%,,f,2,3,t,t,59.375732516077264,17.890332580192204,Entire home,Entire home/apt,7,2.5,2.5 baths,5.0,5.0,"$1,900.00",7,36,7,7,36,36,t,0,0,28,36,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
