,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1686,1686,2024-12-30,2016-02-06,,,,f,1,1,t,t,59.31319,18.08013,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,3,1125,3,3,1125,1125,t,0,0,0,0,2024-12-30,1,0,0,2021-07-29,2021-07-29,4.0,4.0,5.0,5.0,5.0,5.0,4.0,,f,1,1,0,0
1687,1687,2024-12-30,2020-11-28,,,,f,1,1,t,t,59.28202,18.00361,Entire rental unit,Entire home/apt,2,,1 bath,,,,1,5,1,1,5,5,t,0,0,0,0,2024-12-30,10,0,0,2020-12-02,2021-01-08,5.0,5.0,5.0,4.8,4.9,4.9,5.0,,t,1,1,0,0
1694,1694,2024-12-30,2016-03-14,within a day,70.0,4%,f,10,12,t,t,59.34762,18.06397,Private room in rental unit,Private room,1,,1.5 shared baths,1.0,,,4,138,4,4,138,138,t,7,10,38,128,2024-12-30,3,0,0,2021-08-22,2023-08-18,5.0,4.67,4.67,5.0,5.0,4.67,5.0,,f,10,3,7,0
1695,1695,2024-12-30,2020-12-12,,,,f,1,26,t,t,59.40188,17.94285,Private room in condo,Private room,1,,1 shared bath,,,,3,6,3,3,1125,1125,t,0,0,0,0,2024-12-30,8,0,0,2021-01-08,2021-08-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,0,1,0
1696,1696,2024-12-30,2015-11-02,,,,f,1,2,t,f,59.26846,18.12276,Private room in rental unit,Private room,1,,1.5 shared baths,,,,2,10,2,2,10,10,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
1700,1700,2024-12-30,2020-12-28,,,,f,1,1,t,t,59.33564,18.05285,Entire rental unit,Entire home/apt,2,,1.5 baths,1.0,,,2,30,2,2,30,30,t,0,0,0,0,2024-12-30,2,0,0,2021-01-04,2021-01-31,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,t,1,1,0,0
1701,1701,2024-12-30,2014-11-29,,,,f,1,2,t,t,59.33577,18.039572,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,1,56,1,1,1125,1125,t,0,0,0,0,2024-12-30,1,0,0,2021-08-01,2021-08-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0
1702,1702,2024-12-30,2020-08-24,,,,f,1,1,t,t,59.40841,17.92456,Private room in rental unit,Private room,1,,1 shared bath,,,,1,90,1,1,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,1,0,1,0
1703,1703,2024-12-30,2016-09-06,,,,f,1,1,t,t,59.34159,18.0599,Entire rental unit,Entire home/apt,2,,1 bath,,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,1,0,0,2021-04-25,2021-04-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1706,1706,2024-12-30,2012-11-05,,,88%,f,1,1,t,t,59.36591,17.82951,Entire home,Entire home/apt,6,1.5,1.5 baths,2.0,2.0,"$2,000.00",2,1125,2,2,1125,1125,t,0,0,0,93,2024-12-30,44,11,0,2021-03-20,2024-09-03,4.95,4.98,4.84,4.86,5.0,4.77,4.89,,f,1,1,0,0
