,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3502,3502,2024-12-30,2014-06-11,within an hour,100.0,88%,f,46,55,t,t,59.34116021748086,18.03010334395773,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,901.0,1,365,2,5,365,365,t,13,25,55,166,2024-12-30,57,54,4,2023-11-13,2024-12-23,4.47,4.63,4.68,4.63,4.77,4.81,4.51,,f,37,37,0,0
3507,3507,2024-12-30,2012-09-17,within an hour,100.0,79%,f,2,2,t,t,59.27943639999999,18.004011,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,1100.0,1,365,1,1,365,365,t,10,10,10,10,2024-12-30,1,1,0,2024-07-25,2024-07-25,4.0,5.0,5.0,3.0,5.0,4.0,4.0,,f,2,1,1,0
3513,3513,2024-12-30,2019-07-09,within an hour,100.0,100%,f,1,1,t,f,59.34720654041203,18.047842475205865,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,1629.0,5,365,5,5,365,365,t,2,2,18,18,2024-12-30,5,5,0,2024-01-02,2024-07-26,4.8,5.0,5.0,4.6,4.6,5.0,4.6,,f,1,1,0,0
3514,3514,2024-12-30,2020-05-28,within a few hours,100.0,58%,f,1,1,t,t,59.2347109,18.0897462,Entire townhouse,Entire home/apt,5,3.0,3 baths,4.0,3.0,1660.0,2,365,2,2,365,365,t,23,53,83,250,2024-12-30,4,4,1,2024-05-19,2024-12-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
3516,3516,2024-12-30,2018-05-20,within a few hours,100.0,63%,f,1,1,t,t,59.3252463,18.0069244,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,950.0,2,30,2,2,30,30,t,0,0,7,7,2024-12-30,6,5,0,2023-11-20,2024-08-17,5.0,5.0,4.67,5.0,5.0,4.67,4.83,,f,1,1,0,0
3520,3520,2024-12-30,2020-11-11,within a day,100.0,67%,f,2,2,f,f,59.3963821,17.907015,Private room in rental unit,Private room,1,,1 bath,,,,1,365,1,1,365,365,t,29,59,89,269,2024-12-30,2,2,0,2024-04-30,2024-05-20,4.5,3.5,5.0,5.0,4.0,4.5,4.5,,f,2,0,2,0
3522,3522,2024-12-30,2019-04-22,within an hour,100.0,97%,f,2,2,t,t,59.30680700347864,18.03306519985199,Private room in rental unit,Private room,2,1.0,1 shared bath,3.0,1.0,549.0,1,7,1,1,1125,1125,t,8,16,24,50,2024-12-30,48,38,1,2023-11-18,2024-12-20,4.98,4.96,4.98,5.0,5.0,4.92,4.98,,f,2,1,1,0
3523,3523,2024-12-30,2020-08-17,within a few hours,100.0,86%,f,1,2,t,t,59.36726590696957,17.90542585134278,Entire home,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,875.0,3,365,3,3,365,365,t,0,0,0,37,2024-12-30,6,6,0,2024-07-23,2024-08-25,4.67,4.83,5.0,5.0,5.0,4.83,5.0,,f,1,1,0,0
3525,3525,2024-12-30,2020-01-09,within an hour,100.0,100%,f,5,8,t,t,59.32496029752095,18.071261255754568,Entire rental unit,Entire home/apt,8,,2 baths,4.0,,,2,365,1,2,365,365,t,9,22,33,225,2024-12-30,74,72,3,2023-12-16,2024-12-13,4.65,4.77,4.59,4.49,4.73,4.97,4.66,,t,5,5,0,0
3527,3527,2024-12-30,2020-01-09,within an hour,96.0,100%,f,3,4,t,t,59.3233,18.06947,Entire rental unit,Entire home/apt,8,2.5,2.5 baths,4.0,5.0,4417.0,2,365,1,2,365,365,t,8,15,37,259,2024-12-30,47,45,1,2023-12-15,2024-12-09,4.74,4.81,4.57,4.77,4.62,4.96,4.79,,f,3,3,0,0
